名称,类别,处罚类别,处罚时间,违规行为,来源
上海戎西建设工程有限公司,运输公司,诫勉谈话,2016/1/15,严重超载、未密闭,社会监督
上海春兵建设工程有限公司,运输公司,诫勉谈话,2016/1/14,严重超载、未密闭,社会监督
上海荣翼市政工程有限公司,运输公司,诫勉谈话,2016/1/11,严重超载、未密闭,社会监督
上海荣翼市政工程有限公司,运输公司,诫勉谈话,2016/1/7,严重超载、未密闭,社会监督
上海路升建设工程有限公司(徐汇),运输公司,诫勉谈话,2016/1/4,严重超载、未密闭,社会监督
上海久巨土石方工程有限公司,运输公司,诫勉谈话,2016/1/3,严重超载、未密闭,社会监督
上海路升建设工程有限公司(徐汇),运输公司,诫勉谈话,2016/1/1,严重超载、未密闭,社会监督
上海久巨土石方工程有限公司,运输公司,诫勉谈话,2015/12/30,严重超载、未密闭,社会监督
上海荣翼市政工程有限公司,运输公司,诫勉谈话,2015/12/28,严重超载、未密闭,社会监督
上海展福建筑工程有限公司(崇明),运输公司,诫勉谈话,2015/12/26,严重超载、未密闭,社会监督
上海闸环灵石环境卫生工程有限公司(闸北),运输公司,诫勉谈话,2015/12/25,严重超载、未密闭,社会监督
上海普环实业有限公司(普陀),运输公司,诫勉谈话,2015/12/24,严重超载、未密闭,社会监督
上海天享实业发展有限公司,运输公司,诫勉谈话,2015/12/23,严重超载、未密闭,交警
上海鑫屹基础工程有限公司(杨浦),运输公司,诫勉谈话,2015/12/23,严重超载、未密闭,社会监督
上海闸环灵石环境卫生工程有限公司(闸北),运输公司,诫勉谈话,2015/12/21,严重超载、未密闭,社会监督
上海国越建设工程有限公司,运输公司,诫勉谈话,2015/12/20,严重超载、未密闭,社会监督
上海君旭运输发展有限公司(长宁),运输公司,诫勉谈话,2015/12/19,严重超载、未密闭,社会监督
上海立首基础工程有限公司,运输公司,诫勉谈话,2015/12/17,严重超载、未密闭,社会监督
上海百径环境建设有限公司(松江),运输公司,诫勉谈话,2015/12/17,严重超载、未密闭,社会监督
上海威彪建筑工程有限公司,运输公司,诫勉谈话,2015/12/17,严重超载、未密闭,社会监督
上海普环实业有限公司(普陀),运输公司,诫勉谈话,2015/12/16,严重超载、未密闭,社会监督
上海普环实业有限公司(普陀),运输公司,诫勉谈话,2015/12/15,严重超载、未密闭,社会监督
上海君旭运输发展有限公司(长宁),运输公司,诫勉谈话,2015/12/14,严重超载、未密闭,社会监督
上海高航市政工程有限公司,运输公司,诫勉谈话,2015/12/14,严重超载、未密闭,社会监督
上海君旭运输发展有限公司(长宁),运输公司,诫勉谈话,2015/12/14,严重超载、未密闭,社会监督
上海百径环境建设有限公司(松江),运输公司,诫勉谈话,2015/12/13,严重超载、未密闭,社会监督
上海城洁环保工程有限公司,运输公司,诫勉谈话,2015/12/13,严重超载、未密闭,社会监督
上海贵之运输有限公司,运输公司,诫勉谈话,2015/12/13,严重超载、未密闭,社会监督
上海雨良土石方工程有限公司,运输公司,诫勉谈话,2015/12/10,严重超载、未密闭,交警
上海松华远景土石方工程有限公司(松江),运输公司,诫勉谈话,2015/12/8,严重超载、未密闭,社会监督
上海立首基础工程有限公司,运输公司,诫勉谈话,2015/12/6,严重超载、未密闭,社会监督
上海荣翼市政工程有限公司,运输公司,诫勉谈话,2015/12/6,严重超载、未密闭,社会监督
上海贵之运输有限公司,运输公司,诫勉谈话,2015/12/5,严重超载、未密闭,社会监督
上海儒林实业有限公司(普陀),运输公司,诫勉谈话,2015/12/4,严重超载、未密闭,社会监督
上海鸿亮建筑工程有限公司(松江),运输公司,诫勉谈话,2015/12/4,严重超载、未密闭,社会监督
上海贵之运输有限公司,运输公司,诫勉谈话,2015/12/4,严重超载、未密闭,社会监督
上海松迎基础工程有限公司,运输公司,市场退出,2015/12/3,严重超载、未密闭,交警
上海同梅清洁服务有限公司,运输公司,诫勉谈话,2015/12/3,严重超载、未密闭,交警
上海君明建筑土方基础工程有限公司,运输公司,诫勉谈话,2015/12/3,严重超载、未密闭,交警
上海展福建筑工程有限公司(崇明),运输公司,诫勉谈话,2015/12/3,严重超载、未密闭,社会监督
上海闸环灵石环境卫生工程有限公司(闸北),运输公司,诫勉谈话,2015/12/2,严重超载、未密闭,社会监督
上海山华环卫保洁科技有限公司(长宁),运输公司,诫勉谈话,2015/12/1,严重超载、未密闭,社会监督
上海贵之运输有限公司,运输公司,诫勉谈话,2015/12/1,严重超载、未密闭,社会监督
上海俊旭运输有限公司,运输公司,诫勉谈话,2015/11/30,严重超载、未密闭,社会监督
上海山华环卫保洁科技有限公司(长宁),运输公司,诫勉谈话,2015/11/28,严重超载、未密闭,社会监督
上海世滨土石方工程有限公司(普陀),运输公司,诫勉谈话,2015/11/28,严重超载、未密闭,社会监督
上海普环实业有限公司(普陀),运输公司,诫勉谈话,2015/11/28,严重超载、未密闭,社会监督
上海世滨土石方工程有限公司(普陀),运输公司,诫勉谈话,2015/11/28,严重超载、未密闭,社会监督
上海展福建筑工程有限公司(崇明),运输公司,诫勉谈话,2015/11/27,严重超载、未密闭,社会监督
上海贵之运输有限公司,运输公司,诫勉谈话,2015/11/27,严重超载、未密闭,社会监督
上海高航市政工程有限公司,运输公司,诫勉谈话,2015/11/27,严重超载、未密闭,社会监督
上海城洁环保工程有限公司,运输公司,诫勉谈话,2015/11/26,严重超载、未密闭,社会监督
上海闸环灵石环境卫生工程有限公司(闸北),运输公司,诫勉谈话,2015/11/24,严重超载、未密闭,社会监督
上海想越土石方工程有限公司,运输公司,诫勉谈话,2015/11/24,严重超载、未密闭,社会监督
上海俊旭运输有限公司,运输公司,诫勉谈话,2015/11/24,严重超载、未密闭,社会监督
上海高航市政工程有限公司,运输公司,诫勉谈话,2015/11/23,严重超载、未密闭,社会监督
上海悟信实业有限公司(徐汇),运输公司,诫勉谈话,2015/11/19,严重超载、未密闭,社会监督
上海闸环灵石环境卫生工程有限公司(闸北),运输公司,诫勉谈话,2015/11/19,严重超载、未密闭,社会监督
上海君旭运输发展有限公司(长宁),运输公司,诫勉谈话,2015/11/19,严重超载、未密闭,社会监督
上海辉腾基础工程有限公司,运输公司,整改整顿,2015-11-18--2015-12-18,严重超载、未密闭,交警
上海裕皖实业发展有限公司,运输公司,诫勉谈话,2015/11/18,严重超载、未密闭,交警
上海远星机械设备工程有限公司,运输公司,诫勉谈话,2015/11/18,严重超载、未密闭,交警
上海徽环实业有限公司,运输公司,诫勉谈话,2015/11/18,严重超载、未密闭,交警
上海正乾环卫服务有限公司,运输公司,整改整顿,2015-11-18--2015-12-18,严重超载、未密闭,交警
上海鸿亮建设工程有限公司,运输公司,诫勉谈话,2015/11/18,严重超载、未密闭,交警
上海万连环卫清洁有限公司,运输公司,整改整顿,2015-11-18--2015-12-18,严重超载、未密闭,交警
上海贵之运输有限公司,运输公司,诫勉谈话,2015/11/16,严重超载、未密闭,社会监督
上海楠楠土方工程有限公司,运输公司,诫勉谈话,2015/11/15,严重超载、未密闭,社会监督
上海俊旭运输有限公司,运输公司,诫勉谈话,2015/11/15,严重超载、未密闭,社会监督
上海鑫屹基础工程有限公司,运输公司,诫勉谈话,2015/11/13,严重超载、未密闭,交警
上海正乾环卫服务有限公司,运输公司,诫勉谈话,2015/11/13,严重超载、未密闭,交警
上海椽宝建筑工程有限公司,运输公司,整改整顿,2015-11-13--2015-12-13,严重超载、未密闭,交警
上海帅金建筑工程有限公司,运输公司,诫勉谈话,2015/11/13,严重超载、未密闭,交警
上海君旭运输发展有限公司,运输公司,整改整顿,2015-11-13--2015-12-13,严重超载、未密闭,交警
上海益裕建筑工程有限公司,运输公司,市场退出,2015/11/13,严重超载、未密闭,交警
上海松迎基础工程有限公司,运输公司,整改整顿,2015-11-13--2015-12-13,严重超载、未密闭,交警
上海益裕建筑工程有限公司,运输公司,诫勉谈话,2015/11/12,严重超载、未密闭,社会监督
上海憨牛建设工程有限公司,运输公司,诫勉谈话,2015/11/11,严重超载、未密闭,社会监督
上海城洁环保工程有限公司,运输公司,诫勉谈话,2015/11/11,严重超载、未密闭,社会监督
上海俊旭运输有限公司,运输公司,诫勉谈话,2015/11/10,严重超载、未密闭,社会监督
上海悟信实业有限公司(徐汇),运输公司,诫勉谈话,2015/11/10,严重超载、未密闭,社会监督
上海楠楠土方工程有限公司,运输公司,诫勉谈话,2015/11/10,严重超载、未密闭,社会监督
上海虹宝环卫处置运输有限公司,运输公司,诫勉谈话,2015/11/9,严重超载、未密闭,社会监督
上海品矗实业发展有限公司,运输公司,诫勉谈话,2015/11/8,严重超载、未密闭,社会监督
上海春兵建设工程有限公司,运输公司,诫勉谈话,2015/11/7,严重超载、未密闭,社会监督
上海悟信实业有限公司(徐汇),运输公司,诫勉谈话,2015/11/6,严重超载、未密闭,社会监督
上海悟信实业有限公司(徐汇),运输公司,诫勉谈话,2015/11/5,严重超载、未密闭,社会监督
上海俊旭运输有限公司,运输公司,诫勉谈话,2015/11/4,严重超载、未密闭,社会监督
上海楠楠土方工程有限公司,运输公司,诫勉谈话,2015/11/4,严重超载、未密闭,社会监督
上海鑫艺程清运有限公司,运输公司,诫勉谈话,2015/11/3,严重超载、未密闭,社会监督
上海楠楠土方工程有限公司,运输公司,诫勉谈话,2015/11/3,严重超载、未密闭,社会监督
上海悟信实业有限公司(徐汇),运输公司,诫勉谈话,2015/11/3,严重超载、未密闭,社会监督
上海想越土石方工程有限公司,运输公司,诫勉谈话,2015/11/2,严重超载、未密闭,社会监督
上海诚征土石方工程有限公司(徐汇),运输公司,诫勉谈话,2015/11/1,严重超载、未密闭,社会监督
上海路升建设工程有限公司(徐汇),运输公司,诫勉谈话,2015/11/1,严重超载、未密闭,社会监督
上海悟信实业有限公司(徐汇),运输公司,诫勉谈话,2015/11/1,严重超载、未密闭,社会监督
上海君旭运输发展有限公司(长宁),运输公司,诫勉谈话,2015/10/31,严重超载、未密闭,社会监督
上海鑫艺程清运有限公司,运输公司,诫勉谈话,2015/10/31,严重超载、未密闭,社会监督
上海悟信实业有限公司(徐汇),运输公司,诫勉谈话,2015/10/30,严重超载、未密闭,社会监督
上海禹程建设发展有限公司(普陀),运输公司,诫勉谈话,2015/10/30,交通死亡事故,交警
上海庆龙机械施工有限公司,运输公司,整改整顿,2015-10-29--2015-11-28,严重超载、未密闭,交警
上海虹宝环卫处置运输有限公司,运输公司,诫勉谈话,2015/10/29,严重超载、未密闭,交警
上海君旭运输发展有限公司,运输公司,诫勉谈话,2015/10/29,严重超载、未密闭,交警
上海万吉机械施工工程有限公司,运输公司,诫勉谈话,2015/10/29,严重超载、未密闭,交警
上海辉腾基础工程有限公司,运输公司,诫勉谈话,2015/10/29,严重超载、未密闭,交警
上海悟信实业有限公司(徐汇),运输公司,诫勉谈话,2015/10/28,严重超载、未密闭,社会监督
上海悟信实业有限公司(徐汇),运输公司,诫勉谈话,2015/10/28,严重超载、未密闭,社会监督
上海椽宝建筑工程有限公司,运输公司,诫勉谈话,2015/10/26,严重超载、未密闭,交警
上海鹏江建设工程有限公司,运输公司,诫勉谈话,2015/10/26,严重超载、未密闭,交警
上海高航市政工程有限公司,运输公司,诫勉谈话,2015/10/26,严重超载、未密闭,交警
上海益裕建筑工程有限公司,运输公司,整改整顿,2015-10-26--2015-11-25,严重超载、未密闭,交警
上海闸环环境卫生运输有限公司,运输公司,整改整顿,2015-10-26--2015-11-25,严重超载、未密闭,交警
上海万连环卫清洁有限公司,运输公司,诫勉谈话,2015/10/26,严重超载、未密闭,交警
上海嘉齐市政工程配套有限公司,运输公司,诫勉谈话,2015/10/26,严重超载、未密闭,交警
上海儒林实业有限公司,运输公司,诫勉谈话,2015/10/26,严重超载、未密闭,交警
上海想越土石方工程有限公司,运输公司,诫勉谈话,2015/10/26,严重超载、未密闭,交警
上海庆龙机械施工有限公司,运输公司,诫勉谈话,2015/10/26,严重超载、未密闭,交警
上海凯大建设工程有限公司,运输公司,诫勉谈话,2015/10/26,严重超载、未密闭,交警
上海悟信实业有限公司(徐汇),运输公司,诫勉谈话,2015/10/26,严重超载、未密闭,社会监督
上海品矗实业发展有限公司,运输公司,诫勉谈话,2015/10/24,严重超载、未密闭,社会监督
上海悟信实业有限公司(徐汇),运输公司,诫勉谈话,2015/10/23,严重超载、未密闭,社会监督
上海楠楠土方工程有限公司,运输公司,诫勉谈话,2015/10/23,严重超载、未密闭,社会监督
上海益裕建筑工程有限公司,运输公司,诫勉谈话,2015/10/22,严重超载、未密闭,社会监督
上海辉腾基础工程有限公司(长宁),运输公司,诫勉谈话,2015/10/22,严重超载、未密闭,社会监督
上海诚征土石方工程有限公司(徐汇),运输公司,诫勉谈话,2015/10/21,严重超载、未密闭,社会监督
上海山华环卫保洁科技有限公司(长宁),运输公司,诫勉谈话,2015/10/21,严重超载、未密闭,社会监督
上海山华环卫保洁科技有限公司(长宁),运输公司,诫勉谈话,2015/10/21,交通死亡事故,交警
上海憨牛建设工程有限公司,运输公司,诫勉谈话,2015/10/20,严重超载、未密闭,社会监督
上海俊旭运输有限公司,运输公司,诫勉谈话,2015/10/20,严重超载、未密闭,社会监督
上海瑞羿市政工程有限公司,运输公司,诫勉谈话,2015/10/17,严重超载、未密闭,社会监督
上海鼎诚绿化养护有限公司(闵行),运输公司,诫勉谈话,2015/10/17,严重超载、未密闭,社会监督
上海海波环境卫生服务有限公司,运输公司,整改整顿,2015-10-15--2015-11-14,严重超载、未密闭,交警
上海益裕建筑工程有限公司,运输公司,诫勉谈话,2015/10/15,严重超载、未密闭,交警
上海闸环环境卫生运输有限公司,运输公司,诫勉谈话,2015/10/15,严重超载、未密闭,交警
上海鑫环市政工程有限公司,运输公司,诫勉谈话,2015/10/15,严重超载、未密闭,交警
上海耀文清洁服务有限公司,运输公司,诫勉谈话,2015/10/15,严重超载、未密闭,交警
上海松迎基础工程有限公司,运输公司,诫勉谈话,2015/10/15,严重超载、未密闭,交警
上海嘉麓建设工程有限公司,运输公司,诫勉谈话,2015/10/15,严重超载、未密闭,社会监督
上海百径环境建设有限公司(松江),运输公司,诫勉谈话,2015/10/14,严重超载、未密闭,社会监督
上海悟信实业有限公司(徐汇),运输公司,诫勉谈话,2015/10/14,严重超载、未密闭,社会监督
上海耀文清洁服务有限公司(浦东),运输公司,诫勉谈话,2015/10/14,严重超载、未密闭,社会监督
上海松华远景土石方工程有限公司,运输公司,诫勉谈话,2015/10/13,严重超载、未密闭,社会监督
上海悟信实业有限公司(徐汇),运输公司,诫勉谈话,2015/10/13,严重超载、未密闭,社会监督
上海戎西建设工程有限公司,运输公司,诫勉谈话,2015/10/13,严重超载、未密闭,社会监督
上海鑫艺程清运有限公司,运输公司,诫勉谈话,2015/10/13,严重超载、未密闭,社会监督
上海俊旭运输有限公司,运输公司,诫勉谈话,2015/10/12,严重超载、未密闭,社会监督
上海品矗实业发展有限公司,运输公司,诫勉谈话,2015/10/12,严重超载、未密闭,社会监督
上海憨牛建设工程有限公司,运输公司,诫勉谈话,2015/10/11,严重超载、未密闭,社会监督
上海楠楠土方工程有限公司,运输公司,诫勉谈话,2015/10/11,严重超载、未密闭,社会监督
上海城洁环保工程有限公司,运输公司,诫勉谈话,2015/10/11,严重超载、未密闭,社会监督
上海楠楠土方工程有限公司,运输公司,诫勉谈话,2015/10/11,严重超载、未密闭,社会监督
上海俊旭运输有限公司,运输公司,诫勉谈话,2015/10/11,严重超载、未密闭,社会监督
上海张集环保工程有限公司,运输公司,诫勉谈话,2015/10/11,严重超载、未密闭,社会监督
上海徽鼎诚商市政工程有限公司,运输公司,诫勉谈话,2015/10/11,严重超载、未密闭,社会监督
上海裕皖实业发展有限公司(浦东),运输公司,诫勉谈话,2015/10/10,严重超载、未密闭,社会监督
上海万连环卫清洁有限公司,运输公司,诫勉谈话,2015/10/10,严重超载、未密闭,社会监督
上海海波环境卫生服务有限公司,运输公司,诫勉谈话,2015/10/9,严重超载、未密闭,交警
上海威彪建筑工程有限公司,运输公司,诫勉谈话,2015/10/9,严重超载、未密闭,社会监督
上海鑫海建筑机械有限公司,运输公司,诫勉谈话,2015/10/8,严重超载、未密闭,社会监督
上海品矗实业发展有限公司,运输公司,诫勉谈话,2015/10/8,严重超载、未密闭,社会监督
上海同梅清洁服务有限公司,运输公司,诫勉谈话,2015/10/7,严重超载、未密闭,社会监督
上海虹宝环卫处置运输有限公司,运输公司,诫勉谈话,2015/10/7,严重超载、未密闭,社会监督
上海同净渣土运输有限公司,运输公司,诫勉谈话,2015/10/7,严重超载、未密闭,社会监督
上海凯大建设工程有限公司,运输公司,诫勉谈话,2015/10/7,严重超载、未密闭,社会监督
上海国越建设工程有限公司,运输公司,诫勉谈话,2015/10/7,严重超载、未密闭,社会监督
上海鸿亮建设工程有限公司,运输公司,诫勉谈话,2015/10/7,严重超载、未密闭,社会监督
上海百径环境建设有限公司,运输公司,诫勉谈话,2015/10/7,严重超载、未密闭,社会监督
上海君旭运输发展有限公司,运输公司,诫勉谈话,2015/10/6,严重超载、未密闭,社会监督
上海鑫艺程清运有限公司,运输公司,诫勉谈话,2015/10/3,严重超载、未密闭,社会监督
上海高航市政工程有限公司,运输公司,整改整顿,2015-10-08--2015-11-07,严重超载、未密闭,交警
上海奉环环卫清洁有限公司,运输公司,整改整顿,2015-09-30--2015-10-30,无证运输,城管
上海嘉麓建设工程有限公司,运输公司,诫勉谈话,2015/9/30,无证运输,城管
上海语瑞市政工程有限公司,运输公司,诫勉谈话,2015/9/30,无证运输,城管
上海成园物流有限公司,运输公司,市场退出,2015/9/28,严重超载、未密闭,交警
上海儒林实业有限公司,运输公司,诫勉谈话,2015/9/28,严重超载、未密闭,交警
上海松迎基础工程有限公司,运输公司,诫勉谈话,2015/9/28,严重超载、未密闭,交警
上海庆龙机械施工有限公司,运输公司,诫勉谈话,2015/9/28,严重超载、未密闭,交警
上海闸环灵石环境卫生工程有限公司,运输公司,诫勉谈话,2015/9/28,严重超载、未密闭,交警
上海天怡建筑装潢有限公司,运输公司,诫勉谈话,2015/9/28,严重超载、未密闭,交警
上海奉环环卫清洁有限公司,运输公司,市场退出,2015/9/28,严重超载、未密闭,交警
上海凤环实业有限公司,运输公司,诫勉谈话,2015/9/28,严重超载、未密闭,交警
上海苏宝清洁服务有限公司,运输公司,诫勉谈话,2015/9/28,严重超载、未密闭,交警
上海鑫屹基础工程有限公司,运输公司,诫勉谈话,2015/9/28,严重超载、未密闭,交警
上海蓄辉运输有限公司,运输公司,整改整顿,2015-09-28--2015-10-28,严重超载、未密闭,交警
上海超强保洁服务有限公司,运输公司,市场退出,2015/9/28,严重超载、未密闭,交警
上海城洁环保工程有限公司,运输公司,诫勉谈话,2015/9/25,严重超载、未密闭,社会监督
上海鸿亮建设工程有限公司,运输公司,诫勉谈话,2015/9/24,严重超载、未密闭,社会监督
上海陈西物流信息有限公司,运输公司,诫勉谈话,2015/9/23,无证运输,城管
上海振标集装箱运输有限公司,运输公司,诫勉谈话,2015/9/23,偷乱倒,城管
上海群禄环卫清洁服务所,运输公司,整改整顿,2015-09-24--2015-10-24,无证运输,城管
上海英玉环保工程有限公司,运输公司,诫勉谈话,2015/9/23,无证运输,城管
上海鹏江建设工程有限公司,运输公司,诫勉谈话,2015/9/22,严重超载、未密闭,交警
上海松华远景土石方工程有限公司,运输公司,诫勉谈话,2015/9/22,严重超载、未密闭,交警
上海闸环环境卫生运输有限公司,运输公司,诫勉谈话,2015/9/22,严重超载、未密闭,交警
上海椽宝建筑工程有限公司,运输公司,诫勉谈话,2015/9/22,严重超载、未密闭,交警
上海奉环环卫清洁有限公司,运输公司,整改整顿,2015-09-22--2015-10-22,严重超载、未密闭,交警
上海百径环境建设有限公司,运输公司,诫勉谈话,2015/9/22,严重超载、未密闭,交警
上海成园物流有限公司,运输公司,整改整顿,2015-09-22--2015-10-22,严重超载、未密闭,交警
上海憨牛建设工程有限公司,运输公司,诫勉谈话,2015/9/22,严重超载、未密闭,社会监督
上海贵之运输有限公司,运输公司,诫勉谈话,2015/9/22,严重超载、未密闭,社会监督
上海俊旭运输有限公司,运输公司,诫勉谈话,2015/9/21,严重超载、未密闭,社会监督
上海楠楠土方工程有限公司,运输公司,诫勉谈话,2015/9/21,严重超载、未密闭,社会监督
上海高航市政工程有限公司,运输公司,诫勉谈话,2015/9/21,严重超载、未密闭,交警
上海威彪建筑工程有限公司,运输公司,诫勉谈话,2015/9/20,严重超载、未密闭,社会监督
上海鑫艺程清运有限公司,运输公司,整改整顿,2015-09-21--2015-10-21,严重超载、未密闭,社会监督
上海超强保洁服务有限公司,运输公司,诫勉谈话,2015/9/19,严重超载、未密闭,社会监督
上海戎西建设工程有限公司,运输公司,诫勉谈话,2015/9/19,严重超载、未密闭,社会监督
上海国越建设工程有限公司,运输公司,诫勉谈话,2015/9/19,严重超载、未密闭,社会监督
上海戎西建设工程有限公司,运输公司,诫勉谈话,2015/9/18,无证运输,城管
上海天享实业发展有限公司,运输公司,诫勉谈话,2015/9/18,严重超载、未密闭,社会监督
上海嘉齐市政工程配套有限公司,运输公司,诫勉谈话,2015/9/18,交通死亡事故,交警
上海儒林实业有限公司,运输公司,诫勉谈话,2015/9/17,交通死亡事故,交警
上海昊畅市政工程有限公司,运输公司,诫勉谈话,2015/9/16,严重超载、未密闭,社会监督
上海楼泰清洁服务有限公司,运输公司,诫勉谈话,2015/9/16,无证运输,城管
上海凤环实业有限公司,运输公司,诫勉谈话,2015/9/16,严重超载、未密闭,社会监督
上海贵之运输有限公司,运输公司,诫勉谈话,2015/9/14,严重超载、未密闭,社会监督
上海奉宝基础工程有限公司,运输公司,诫勉谈话,2015/9/12,严重超载、未密闭,社会监督
上海贵之运输有限公司,运输公司,整改整顿,2015-09-10--2015-10-10,严重超载、未密闭,交警
上海安远基础工程土方运输有限公司,运输公司,诫勉谈话,2015/9/10,严重超载、未密闭,交警
上海楠楠土方工程有限公司,运输公司,诫勉谈话,2015/9/10,严重超载、未密闭,交警
上海广灿货物运输有限公司,运输公司,诫勉谈话,2015/9/9,无证运输,城管
上海松华远景土石方工程有限公司,运输公司,诫勉谈话,2015/9/9,无证运输,城管
上海群禄环卫清洁服务所,运输公司,诫勉谈话,2015/9/8,偷乱倒,城管
上海楼泰清洁服务有限公司,运输公司,诫勉谈话,2015/9/8,偷乱倒,城管
上海群禄环卫清洁服务所,运输公司,诫勉谈话,2015/9/8,无证运输,城管
上海春兵建设工程有限公司,运输公司,诫勉谈话,2015/9/8,严重超载、未密闭,社会监督
上海徽鼎诚商市政工程有限公司,运输公司,诫勉谈话,2015/9/2,严重超载、未密闭,社会监督
上海瑞羿市政工程有限公司,运输公司,诫勉谈话,2015/9/2,无证运输,城管
上海超强保洁服务有限公司,运输公司,诫勉谈话,2015/9/2,无证运输,城管
上海凤环实业有限公司,运输公司,诫勉谈话,2015/8/31,严重超载、未密闭,社会监督
上海威彪建筑工程有限公司,运输公司,诫勉谈话,2015/8/28,严重超载、未密闭,交警
上海远星机械设备工程有限公司,运输公司,诫勉谈话,2015/8/28,严重超载、未密闭,交警
上海益裕建筑工程有限公司,运输公司,诫勉谈话,2015/8/28,严重超载、未密闭,社会监督
上海闵奉建材有限公司,运输公司,诫勉谈话,2015/8/24,偷乱倒,城管
上海闸环环境卫生运输有限公司,运输公司,诫勉谈话,2015/8/22,严重超载、未密闭,社会监督
上海超强保洁服务有限公司,运输公司,整改整顿,2015-08-21--2015-09-20,严重超载、未密闭,交警
上海楠楠土方工程有限公司,运输公司,诫勉谈话,2015/8/21,无证运输,城管
上海凤环实业有限公司,运输公司,诫勉谈话,2015/8/21,无证运输,城管
上海鸿亮建设工程有限公司,运输公司,诫勉谈话,2015/8/19,严重超载、未密闭,社会监督
上海普环实业有限公司,运输公司,诫勉谈话,2015/8/18,严重超载、未密闭,社会监督
上海普环实业有限公司,运输公司,整改整顿,2015-08-19--2015-09-19,严重超载、未密闭,社会监督
上海奉环环卫清洁有限公司,运输公司,诫勉谈话,2015/8/14,无证运输,城管
上海鸿亮建设工程有限公司,运输公司,诫勉谈话,2015/8/12,严重超载,交警
上海昊郁实业有限公司,运输公司,诫勉谈话,2015/8/12,严重超载,交警
上海成园物流有限公司,运输公司,诫勉谈话,2015/8/12,严重超载、未密闭,交警
上海同净渣土运输有限公司,运输公司,诫勉谈话,2015/8/12,严重超载,交警
上海贵之运输有限公司,运输公司,诫勉谈话,2015/8/12,严重超载,交警
上海松华远景土石方工程有限公司,运输公司,诫勉谈话,2015/8/10,未密闭,社会监督
上海俊旭运输有限公司,运输公司,整改整顿,2015-08-10--2015-09-09,交通死亡事故,交警
上海亚堃机械设备有限公司,运输公司,诫勉谈话,2015/8/4,未密闭,社会监督
上海同梅清洁服务有限公司,运输公司,诫勉谈话,2015/8/3,未密闭,社会监督
上海信浩环卫清洁服务有限公司,运输公司,诫勉谈话,2015/7/29,无证运输,城管
上海万吉机械施工工程有限公司,运输公司,诫勉谈话,2015/7/29,严重超载,交警
上海奉环环卫清洁有限公司,运输公司,诫勉谈话,2015/7/25,未密闭,社会监督
上海威彪建筑工程有限公司,运输公司,诫勉谈话,2015/7/24,无证运输,城管
上海雅米鼎路基材料有限公司,运输公司,诫勉谈话,2015/7/23,无证运输,城管
上海鑫环市政工程有限公司,运输公司,诫勉谈话,2015/7/22,无证运输,城管
上海万杨拆房有限公司,运输公司,市场退出,2015/7/18,交通死亡事故,交警
上海万杨拆房有限公司,运输公司,诫勉谈话,2015/7/17,严重超载,交警
上海盛拓市政建筑有限公司,运输公司,诫勉谈话,2015/7/16,无证运输,城管
上海展福建筑工程有限公司,运输公司,诫勉谈话,2015/7/16,无证运输,城管
上海申利实业有限公司,运输公司,诫勉谈话,2015/7/15,无证运输,城管
上海正乾环卫服务有限公司,运输公司,诫勉谈话,2015/7/15,严重超载、未密闭,交警
上海奉宝基础工程有限公司,运输公司,诫勉谈话,2015/7/14,无证运输,城管
上海超润建设发展有限公司,运输公司,诫勉谈话,2015/7/13,严重超载、未密闭,交警
上海超强保洁服务有限公司,运输公司,诫勉谈话,2015/7/13,严重超载、未密闭,交警
上海腾燊实业发展有限公司,运输公司,诫勉谈话,2015/7/7,无证运输,城管
上海国越建设工程有限公司,运输公司,诫勉谈话,2015/7/6,无证运输,城管
上海宏奉环卫清洁有限公司,运输公司,诫勉谈话,2015/7/2,无证运输,城管
上海闵奉建材有限公司,运输公司,诫勉谈话,2015/7/2,无证运输,城管
上海荣磊环保科技有限公司,运输公司,诫勉谈话,2015/7/1,无证运输,城管
上海益裕建筑工程有限公司,运输公司,诫勉谈话,2015/7/1,严重超载、未密闭,交警
上海悦垒市政工程有限公司,运输公司,诫勉谈话,2015/7/1,严重超载、未密闭,交警
上海钱洲卫生保洁服务有限公司,运输公司,诫勉谈话,2015/7/1,无证运输,城管
上海奉环环卫清洁有限公司,运输公司,诫勉谈话,2015/7/1,严重超载、未密闭,交警
