区域,名称,地址,经营单位,受纳种类,回填总量/吨,剩余量/吨,有效期
奉贤,S4东侧绿化回土-14771,S4东侧绿化回土,区绿化所,工程渣土&nbsp;,20000,10000,2016-04-20-2016-06-30
奉贤,西校村9组、14组-13669,西校村9组、14组,西校村村委会,工程渣土&nbsp;,100000,10000,2015-12-29-2016-12-29
奉贤,金水苑5期回填-13389,金水苑5期,金水苑5期项目部,建筑垃圾&nbsp;工程渣土&nbsp;,10000,9400,2015-12-18-2017-02-28
奉贤,汇珏网络公司回填-12309,汇珏网络公司回填,上海汇珏网络有限公司,建筑垃圾&nbsp;工程渣土&nbsp;,10000,9400,2015-10-12-2018-10-31
奉贤,周家村一组-13089,周家村一组,金汇周家村,工程渣土&nbsp;,10000,9300,2015-11-26-2017-11-26
奉贤,上海汇珏网络通信设备有限公司回填-11990,上海汇珏网络通信设备有限公司回填,上海汇珏网络通信设备有限公司,工程渣土&nbsp;,30000,9200,2015-09-23-2017-09-29
奉贤,轨交5号线南延伸段平庄公路车辆基地回土-12830,轨交5号线南延伸段平庄公路车辆基地,上海建工四建集团有限公司,工程渣土&nbsp;,150000,8600,2015-11-12-2018-11-30
奉贤,奉浦学校游泳馆工程缺土-10915,陈桥路、八字桥路,浙江恒力建设有限公司,工程渣土&nbsp;,10000,8000,2014-12-23-2016-05-22
奉贤,恒龙金尊广场回填-11099,泽丰路、望园路,上海繁逸置业有限公司,工程渣土&nbsp;,10000,8000,2015-01-23-2017-01-31
奉贤,金海路新林路回填-12169,金海路新林路回填,上海晟圣市政工程有限公司,建筑垃圾&nbsp;工程渣土&nbsp;,10000,7600,2015-09-29-2017-10-31
奉贤,庄氏研发中心-14031,庄氏研发服务中心南奉公路6003号,奉贤汽车客运有限公司,工程渣土&nbsp;,11000,7600,2016-01-15-2016-12-30
奉贤,金钱公路、浦星公路-11641,金钱公路、浦星公路,上海雅米鼎路基材料有限公司,工程渣土&nbsp;,10000,6700,2015-07-23-2018-10-31
奉贤,望园路、广丰路-10888,望园路、广丰路,上海青峰实业投资有限公司,工程渣土&nbsp;,10000,6000,2014-12-09-2016-12-31
奉贤,万宾路顺福路65号-14918,光明万宾路顺福路65号,光明村,工程渣土&nbsp;,10000,6000,2016-05-10-2016-09-30
奉贤,金汇镇南陈村回填-11371,沿钱路、光泰路,南陈村村委会,工程渣土&nbsp;,10000,6000,2015-04-16-2018-04-30
奉贤,海思路500号-11380,海思路500号,上海旅游高等专科学校资产处,工程渣土&nbsp;,10000,6000,2015-04-21-2017-04-30
奉贤,应用技术学院土方回填-11445,应用技术学院土方回填,上海建工集团,工程渣土&nbsp;,10000,5000,2015-05-08-2018-05-31
奉贤,星疆路星辉蔬菜回填-13049,星疆路星辉蔬菜回填,上海星辉蔬菜有限公司,工程渣土&nbsp;,10000,5000,2015-11-23-2017-11-30
奉贤,光钱路403号-14571,南奉公路光钱路403号,光明村,工程渣土&nbsp;,75000,5000,2016-03-29-2016-05-30
奉贤,消防奉贤支队工程（庄邬路）-13569,消防奉贤支队工程（庄邬路）,奉贤消防支队,工程渣土&nbsp;,10000,5000,2015-12-25-2016-12-31
奉贤,万景峰回填-11100,金海路、航南路,上海朗合房地产开发有限公司,建筑垃圾&nbsp;工程渣土&nbsp;,10000,5000,2015-01-23-2017-01-31
奉贤,广丰路758基地回填-14454,广丰路758基地,上海生物制品研究所,工程渣土&nbsp;,50000,4000,2016-03-16-2016-06-30
奉贤,平安海杰路777号-14733,海杰路777号地块,海港开发区绿化市容所,工程渣土&nbsp;,20000,4000,2016-04-15-2016-06-30
奉贤,宝星电器有限公司回土-11792,宝星电器回土,上海宝星电器有限公司,工程渣土&nbsp;,10000,4000,2015-09-07-2017-09-30
奉贤,陆桥路888号厂房-11700,陆桥路888号厂房,上海永拓针织有限公司,工程渣土&nbsp;,10000,4000,2015-08-12-2018-08-12
奉贤,海湾假日花园二期回填-10999,人民塘路,上海招商奉瑞置业有限公司,工程渣土&nbsp;,10000,1000,2015-01-06-2017-07-06
青浦,山海桥村鱼塘复垦-10871,山海桥村港周路,上海帅金建筑工程有限公司,工程渣土&nbsp;,4120000,4070000,2014-12-01-2016-12-30
青浦,万隆村土地复垦-11333,万隆村峰甸路,上海帅金建筑工程有限公司,工程渣土&nbsp;,2420000,2260000,2015-03-30-2016-12-30
青浦,复耕（松蒸公路蒸夏村）-14171,松蒸公路蒸夏村（老松蒸公路朱枫公路）,上海浦赢市政工程有限公司,工程渣土&nbsp;,1800000,1800000,2016-01-30-2017-12-30
青浦,香花桥街道朝阳村土地复耕-14634,外青松公路以东，天辰路以南,上海悦垒市政工程有限公司,工程渣土&nbsp;,1600000,1491600,2016-04-01-2018-12-30
青浦,青浦出口加工区F-14地块土地回填-8928,出口加工区F-14地块,,工程渣土&nbsp;,1600000,1459000,2014-03-17-2016-05-30
青浦,联农村四联荡里鱼塘、农田、荒地土方回填-14673,练塘镇联农村四联路,上海帅金建筑工程有限公司,工程渣土&nbsp;,1400000,1400000,2016-02-20-2018-12-30
青浦,复耕（新朱枫公路陈家浜桥北）-14170,练塘镇新朱枫公路陈家浜桥北,上海浦赢市政工程有限公司,工程渣土&nbsp;,1300000,1300000,2016-01-30-2017-12-31
青浦,夏阳街道西庆路环境整治及复垦-14632,西庆路（整路段）,上海帅金建筑工程有限公司,工程渣土&nbsp;,1200000,1130000,2016-03-12-2016-12-30
青浦,回民公墓北侧回填-13709,回民公墓北侧靠近油墩港,上海浦赢市政工程有限公司,工程渣土&nbsp;,1100000,1100000,2015-08-01-2016-12-31
青浦,金泽镇新港村鱼塘低洼地复耕-14712,金泽镇练岑公路北侧,上海浦赢市政工程有限公司,工程渣土&nbsp;,760000,760000,2016-03-30-2016-10-31
青浦,青浦区练塘镇蒸浦村鱼塘复垦问题-11501,练塘镇蒸浦村,上海市浦赢市政工程有限公司,工程渣土&nbsp;,720000,720000,2015-05-30-2017-05-30
青浦,小江村土地复垦整改项目-11303,朱家角镇峰甸路,上海帅金建筑工程有限公司,工程渣土&nbsp;,800000,500000,2015-04-18-2017-10-18
青浦,香花桥街道向阳村民委员会鱼塘回填及荒地复垦-8299,向阳村十四队,上海悦垒市政工程有限公司,工程渣土&nbsp;,1200000,482400,2013-11-11-2016-12-31
青浦,上海市电子口岸信息数据备份中心和其他综合服务用房项目回填-11488,东至淀山湖、西至金商公路、南至江南圩、北至急水港,上海帅金建筑工程有限公司,工程渣土&nbsp;,460000,460000,2015-05-15-2016-12-30
青浦,青西郊野公园游客集散服务中心（回填）-14914,青浦金泽镇河祝村,上海淀山湖新城发展有限公司,工程渣土&nbsp;,400000,400000,2016-05-09-2016-09-25
青浦,鱼塘回填（淀山湖大道北侧）-10579,淀山湖大道北侧,青浦区朱家角镇横江村村民委员会,工程渣土&nbsp;,4000000,321122,2014-09-20-2016-09-30
青浦,青浦现代农业园区鱼塘填土-11621,练塘镇蒸俞公路（云峰加油站旁）老松蒸公路,上海浦赢市政工程有限公司,工程渣土&nbsp;,800000,238800,2015-06-30-2016-12-30
青浦,练塘镇双菱村菱浜农民建房（回填）-14923,练塘镇蒸俞公路欧风路口,上海浦赢市政工程有限公司,工程渣土&nbsp;,150000,150000,2016-05-11-2016-07-30
青浦,腾讯场地回填-5804,青赵路 南至崧泽大道 北至北青公路,上海西部市政工程有限公司,工程渣土&nbsp;,200000,150000,2012-11-21-2019-12-31
青浦,青浦区练塘镇双菱村鱼塘回填-11500,练塘镇双菱村,上海浦赢市政工程有限公司,工程渣土&nbsp;,160000,144000,2015-05-20-2016-05-30
青浦,青浦区盈浦街道南厍村护岸林建设（御澜湾小学西侧）-12451,御澜湾小学西侧,上海帅金建筑工程有限公司,工程渣土&nbsp;,120000,120000,2015-10-01-2016-12-30
青浦,青浦区朱家角镇小江村鱼塘复垦-14633,朱家角镇小江村13组鱼塘,上海帅金建筑工程有限公司,工程渣土&nbsp;,120000,120000,2016-03-01-2017-12-31
青浦,华新1号地块（星尚湾名邸）三期工程回填-11304,新凤中路899弄,上海文基置业有限公司,工程渣土&nbsp;,100000,100000,2015-06-20-2016-10-30
青浦,朱家角镇薛间村红星三组鱼塘回填-9977,薛间村村委会东侧（318国道南侧）,青浦区朱家角镇薛间村村民委员会,工程渣土&nbsp;,300000,100000,2014-05-28-2016-12-31
青浦,金泽镇淀山湖村西角洋回填整平工程-10954,金泽镇淀湖村西角洋藕塘地块水稻地块,上海浦赢市政工程有限公司,工程渣土&nbsp;,1000000,41930,2014-12-01-2016-12-31
青浦,香花桥街道公益林填土项目-12089,香花桥街道上达河沿线从向阳河东至油墩河西,上海存卓实业有限公司,工程渣土&nbsp;,40000,40000,2015-08-01-2017-05-01
青浦,青浦区盈浦街道南厍村护岸林建设（民乐三期东面）-12450,民乐三期东面,上海帅金建筑工程有限公司,工程渣土&nbsp;,120000,39000,2015-10-01-2016-12-30
青浦,华新镇新府中路西侧E-4-08、E-4-02地块项目回填-11351,华新镇,上海帅金建筑工程有限公司,工程渣土&nbsp;,30000,30000,2015-04-30-2018-02-05
青浦,青浦新城一站大型居住社区经济适用房D区33A-08A地块回填-11559,秀泽路、秀福路、崧涟二路,上海浦赢市政工程有限公司,工程渣土&nbsp;,100000,6000,2015-05-20-2016-05-31
青浦,青浦新城一站大型居住社区经济适用房D区33A-10A地块回填-11558,秀泽路、秀福路、崧涟二路,上海浦赢市政工程有限公司,工程渣土&nbsp;,100000,1900,2015-05-20-2016-05-31
青浦,上实朱家角特色居住区三期回填-11849,朱家角镇绿湖路东侧,上海丰泽置业有限公司,工程渣土&nbsp;,800,800,2015-08-24-2016-08-10
金山,金山区海芙路-14129,海芙路,上海春然环卫处置运输有限公司,工程渣土&nbsp;,600000,600000,2016-02-06-2016-08-31
金山,亭林镇龙泉村林荣路-14335,亭林镇龙泉村林荣路,亭林镇,工程渣土&nbsp;,300000,288000,2016-03-03-2016-11-10
金山,张堰镇桑园村8组-14854,张堰镇桑园村8组漕廊公路金水路口,张堰镇,工程渣土&nbsp;,60000,60000,2016-04-27-2016-08-15
金山,卫九路-14635,卫九路,金山区,工程渣土&nbsp;,20000,20000,2016-04-05-2016-07-31
金山,金山工业区6街坊54地块-14674,金山工业区6街坊54地块,金山区工业区,工程渣土&nbsp;,60000,14000,2016-04-11-2016-08-31
崇明,长兴产业园区34号F地块-11622,长兴产业园区,上海润稼农业科技有限公司,工程渣土&nbsp;,78000,78000,2015-05-01-2017-04-30
崇明,西安岛路-8303,陈家镇西安岛路,,工程渣土&nbsp;,60000,60000,2013-12-16-2016-12-30
崇明,陈家镇社区2号地块-11571,陈家镇揽海路,上海盈谷房地产有限公司,工程渣土&nbsp;,40000,40000,2015-07-01-2017-10-30
崇明,陈家镇动迁安置房十九期-11650,陈家镇,上海崇裕置业发展有限公司,工程渣土&nbsp;,20000,20000,2015-08-01-2017-08-01
崇明,石岛路回填点-8103,堡镇石岛路,,工程渣土&nbsp;,20000,20000,2013-12-18-2017-09-05
崇明,官山路回填点-10830,城桥镇,上海金宝塑钢门窗有限公司,工程渣土&nbsp;,4000,4000,2014-11-30-2016-11-01
崇明,前进海燕新村北地块-11570,前进农场,光明食品集团上海长江总公司,工程渣土&nbsp;,2000,2000,2015-09-30-2016-10-30
崇明,长征运输站地块-11569,长征公路,光明食品集团上海长江总公司,工程渣土&nbsp;,1000,1000,2015-09-30-2016-10-30
